Month,Road_Rage_Pedestrian_Injuries,Road_Rage_Pedestrian_Deaths,Average_Temperature
2021-01,4,0,44.0
2021-02,0,0,46.5
2021-03,4,0,67.0
2021-04,5,0,68.5
2021-05,8,0,78.0
2021-06,12,0,86.5
2021-07,8,0,85.0
2021-08,15,0,86.0
2021-09,4,0,78.0
2021-10,6,0,71.0
2021-11,10,0,59.0
2021-12,14,0,58.0
2022-01,7,0,53.0
2022-02,7,0,58.5
2022-03,9,0,62.0
2022-04,10,0,68.0
2022-05,15,1,80.5
2022-06,10,0,81.5
2022-07,5,0,87.0
2022-08,10,1,87.5
2022-09,4,0,80.5
2022-10,11,1,67.0
2022-11,5,0,70.5
2022-12,1,0,56.5
2023-01,10,0,57.5
2023-02,7,0,63.0
2023-03,10,0,55.0
2023-04,3,0,80.5
2023-05,9,0,76.0
2023-06,10,1,78.5
2023-07,15,0,83.5
2023-08,11,0,80.5
2023-09,14,0,85.0
2023-10,10,0,74.5
2023-11,7,0,59.5
2023-12,5,0,55.5
2024-01,12,0,52.5
2024-02,7,0,53.5
2024-03,6,0,62.0
2024-04,6,0,75.0
2024-05,11,0,76.0
2024-06,12,0,85.0
2024-07,10,0,86.0
2024-08,11,0,85.5
2024-09,10,0,77.0
2024-10,13,0,71.5
2024-11,5,0,72.0
2024-12,17,0,55.0
2025-01,8,0,45.0
2025-02,4,0,50.0
2025-03,9,0,62.0
2025-04,11,0,69.5
2025-05,7,0,74.0
2025-06,6,0,90.0
2025-07,13,0,87.5
2025-08,6,0,82.0
2025-09,22,1,76.0
2025-10,10,0,74.0
2025-11,10,0,59.5
2025-12,13,0,45.0
